group	label
333	Adjusted AIC penalty = 1.4214
334	Adjusted AIC penalty = 1.4214
335	Adjusted AIC penalty = 1.4214
336	Adjusted AIC penalty = 1.4214
337	Adjusted AIC penalty = 1.4214
338	Adjusted AIC penalty = 1.4214
339	Adjusted AIC penalty = 1.4214
340	Adjusted AIC penalty = 1.4214
341	Adjusted AIC penalty = 1.4214
342	Adjusted AIC penalty = 1.4214
343	Adjusted AIC penalty = 1.4214
344	Adjusted AIC penalty = 1.4214
345	Adjusted AIC penalty = 1.4214
346	Adjusted AIC penalty = 1.4214
347	Adjusted AIC penalty = 1.4214
348	Adjusted AIC penalty = 1.4214
349	Adjusted AIC penalty = 1.4214
350	Adjusted AIC penalty = 1.4214
351	Adjusted AIC penalty = 1.4214
352	Adjusted AIC penalty = 1.4214
353	Adjusted AIC penalty = 1.4214
354	Adjusted AIC penalty = 1.4214
355	Adjusted AIC penalty = 1.4214
356	Adjusted AIC penalty = 1.4214
357	Adjusted AIC penalty = 1.4214
358	Adjusted AIC penalty = 1.4214
359	Adjusted AIC penalty = 1.4214
360	Adjusted AIC penalty = 1.4214
361	Adjusted AIC penalty = 1.4214
362	Adjusted AIC penalty = 1.4214
363	Adjusted AIC penalty = 1.4214
364	Adjusted AIC penalty = 1.4214
365	Adjusted AIC penalty = 1.4214
366	Adjusted AIC penalty = 1.4214
367	Adjusted AIC penalty = 1.4214
368	Adjusted AIC penalty = 1.4214
369	Adjusted AIC penalty = 1.4214
370	Adjusted AIC penalty = 1.4214
371	Adjusted AIC penalty = 1.4214
372	Adjusted AIC penalty = 1.4214
373	Adjusted AIC penalty = 1.4214
374	Adjusted AIC penalty = 1.4214
375	Adjusted AIC penalty = 1.4214
376	Adjusted AIC penalty = 1.4214
377	Adjusted AIC penalty = 1.4214
378	Adjusted AIC penalty = 1.4214
379	Adjusted AIC penalty = 1.4214
380	Adjusted AIC penalty = 1.4214
381	Adjusted AIC penalty = 1.4214
382	Adjusted AIC penalty = 1.4214
383	Adjusted AIC penalty = 1.4214
384	Adjusted AIC penalty = 1.4214
385	Adjusted AIC penalty = 1.4214
386	Adjusted AIC penalty = 1.4214
387	Adjusted AIC penalty = 1.4214
388	Adjusted AIC penalty = 1.4214
389	Adjusted AIC penalty = 1.4214
390	Adjusted AIC penalty = 1.4214
391	Adjusted AIC penalty = 1.4214
392	Adjusted AIC penalty = 1.4214
393	Adjusted AIC penalty = 1.4214
394	Adjusted AIC penalty = 1.4214
395	Adjusted AIC penalty = 1.4214
396	Adjusted AIC penalty = 1.4214
397	Adjusted AIC penalty = 1.4214
398	Adjusted AIC penalty = 1.4214
399	Adjusted AIC penalty = 1.4214
400	Adjusted AIC penalty = 1.4214
401	Adjusted AIC penalty = 1.4214
402	Adjusted AIC penalty = 1.4214
403	Adjusted AIC penalty = 1.4214
404	Adjusted AIC penalty = 1.4214
405	Adjusted AIC penalty = 1.4214
406	Adjusted AIC penalty = 1.4214
407	Adjusted AIC penalty = 1.4214
408	Adjusted AIC penalty = 1.4214
409	Adjusted AIC penalty = 1.4214
410	Adjusted AIC penalty = 1.4214
411	Adjusted AIC penalty = 1.4214
412	Adjusted AIC penalty = 1.4214
413	Adjusted AIC penalty = 1.4214
414	Adjusted AIC penalty = 1.4214
415	Adjusted AIC penalty = 1.4214
416	Adjusted AIC penalty = 1.4214
417	Adjusted AIC penalty = 1.4214
418	Adjusted AIC penalty = 1.4214
419	Adjusted AIC penalty = 1.4214
420	Adjusted AIC penalty = 1.4214
421	Adjusted AIC penalty = 1.4214
422	Adjusted AIC penalty = 1.4214
423	Adjusted AIC penalty = 1.4214
424	Adjusted AIC penalty = 1.4214
425	Adjusted AIC penalty = 1.4214
